job_role,main_skill,additional_skills,education,experience_years,projects_count,certifications_count,is_user_ready_for_job,targeted_job,skills_required_to_learn
Frontend Developer,"HTML, CSS, JavaScript","MongoDB, Git, Linux",B.Sc,1-3,0,2,No,Frontend Developer,"HTML, JavaScript"
Android Developer,"Java, Kotlin, Android SDK","Git, CI/CD, System Design",MCA,0-1,5,0,No,Android Developer,Kotlin
Frontend Developer,"HTML, CSS, JavaScript","Linux, REST API, Docker, System Design",B.Tech,1-3,2,4,Yes,Frontend Developer,None
Android Developer,"Java, Kotlin, Android SDK","Linux, MongoDB, Git, REST API",B.Tech,Fresher,0,3,No,Android Developer,"Java, Android SDK, Kotlin"
Backend Developer,"Java, Spring Boot, Node.js","DSA, CI/CD, Docker, MongoDB, Firebase",M.Sc,Fresher,6,3,Yes,Backend Developer,None
Flutter Developer,"Dart, Flutter","Firebase, Docker, DSA",B.Sc,0-1,3,4,Yes,Flutter Developer,None
Java Developer,"Java, OOP, Spring","Docker, System Design, REST API, Linux, AWS",B.Sc,1-3,1,3,No,Java Developer,"Spring, Java, OOP"
Data Analyst,"Python, SQL, Excel","REST API, CI/CD",B.Sc,1-3,4,0,No,Data Analyst,"Excel, Python"
Full Stack Developer,"JavaScript, React, Node.js","Firebase, Git, System Design, MongoDB, REST API",BCA,1-3,1,0,No,Full Stack Developer,React
Python Developer,"Python, Flask, Django","System Design, REST API, Firebase, Git",BCA,Fresher,2,2,Yes,Python Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Firebase, CI/CD",M.Sc,0-1,0,1,No,ML Engineer,"Python, TensorFlow"
ML Engineer,"Python, Deep Learning, TensorFlow","Docker, Linux, AWS, Firebase, CI/CD",MCA,Fresher,3,0,No,ML Engineer,"Deep Learning, Python"
Data Scientist,"Python, Machine Learning, Statistics","REST API, Docker, MongoDB, Firebase",B.Tech,0-1,1,4,No,Data Scientist,Machine Learning
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, Firebase, System Design, Docker",B.Sc,1-3,3,0,No,Frontend Developer,"JavaScript, HTML, CSS"
Python Developer,"Python, Flask, Django","REST API, System Design, AWS, Linux",B.Sc,1-3,5,4,Yes,Python Developer,None
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, Linux, System Design, AWS, Firebase",B.Sc,3-5,4,1,Yes,Full Stack Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Firebase, REST API",BCA,Fresher,1,3,No,Full Stack Developer,"React, JavaScript, Node.js"
Full Stack Developer,"JavaScript, React, Node.js","System Design, AWS, Firebase, REST API",B.Sc,Fresher,5,0,No,Full Stack Developer,Node.js
Data Analyst,"Python, SQL, Excel","Firebase, System Design, Docker, MongoDB, Git",B.Sc,0-1,5,0,No,Data Analyst,SQL
Android Developer,"Java, Kotlin, Android SDK","System Design, AWS, Docker",Diploma,0-1,5,3,Yes,Android Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Firebase, Linux",M.Sc,0-1,6,1,Yes,Full Stack Developer,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, MongoDB",B.Sc,3-5,1,3,No,Frontend Developer,HTML
Data Scientist,"Python, Machine Learning, Statistics","DSA, REST API, Docker, MongoDB, AWS",MCA,1-3,4,3,Yes,Data Scientist,None
Data Analyst,"Python, SQL, Excel","MongoDB, Linux, Git, DSA, Docker",Diploma,0-1,0,2,No,Data Analyst,Excel
Full Stack Developer,"JavaScript, React, Node.js","DSA, System Design, Docker, REST API",BCA,0-1,1,4,No,Full Stack Developer,Node.js
Python Developer,"Python, Flask, Django","DSA, REST API",Diploma,Fresher,2,2,Yes,Python Developer,None
Java Developer,"Java, OOP, Spring","Firebase, CI/CD",Diploma,Fresher,6,1,Yes,Java Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, Git, CI/CD, DSA, REST API",B.Tech,1-3,0,4,No,Frontend Developer,JavaScript
Data Scientist,"Python, Machine Learning, Statistics","System Design, MongoDB, Firebase",B.Tech,1-3,0,2,No,Data Scientist,Machine Learning
Python Developer,"Python, Flask, Django","System Design, REST API, MongoDB, Linux",MCA,Fresher,6,0,No,Python Developer,"Django, Python, Flask"
Frontend Developer,"HTML, CSS, JavaScript","MongoDB, AWS, Linux, System Design, CI/CD",M.Sc,0-1,2,1,Yes,Frontend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, REST API, System Design",M.Sc,3-5,0,1,No,ML Engineer,"Python, TensorFlow"
Java Developer,"Java, OOP, Spring","System Design, AWS, Docker, CI/CD",BCA,0-1,6,1,Yes,Java Developer,None
Android Developer,"Java, Kotlin, Android SDK","Git, MongoDB, AWS, Firebase",B.Sc,1-3,5,1,Yes,Android Developer,None
Data Scientist,"Python, Machine Learning, Statistics","REST API, CI/CD, DSA",BCA,1-3,2,2,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","MongoDB, DSA, AWS, System Design",M.Sc,Fresher,2,0,No,Flutter Developer,Dart
Flutter Developer,"Dart, Flutter","AWS, Git, DSA",MCA,3-5,4,3,Yes,Flutter Developer,None
Frontend Developer,"HTML, CSS, JavaScript","REST API, Firebase, MongoDB, AWS, Linux",B.Tech,Fresher,0,2,No,Frontend Developer,"JavaScript, HTML"
Flutter Developer,"Dart, Flutter","Linux, REST API",Diploma,3-5,4,1,Yes,Flutter Developer,None
Frontend Developer,"HTML, CSS, JavaScript","MongoDB, CI/CD",MCA,1-3,4,2,Yes,Frontend Developer,None
Python Developer,"Python, Flask, Django","AWS, CI/CD, Docker",Diploma,Fresher,2,3,Yes,Python Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, Git, AWS",MCA,Fresher,4,3,Yes,Backend Developer,None
Android Developer,"Java, Kotlin, Android SDK","REST API, CI/CD, AWS",MCA,Fresher,5,3,Yes,Android Developer,None
Flutter Developer,"Dart, Flutter","Linux, Firebase, AWS, REST API, System Design",B.Tech,Fresher,6,0,No,Flutter Developer,Flutter
Java Developer,"Java, OOP, Spring","Firebase, CI/CD, MongoDB, Git",Diploma,1-3,5,4,Yes,Java Developer,None
Flutter Developer,"Dart, Flutter","MongoDB, AWS, Docker, CI/CD, Firebase",B.Tech,Fresher,5,3,Yes,Flutter Developer,None
Flutter Developer,"Dart, Flutter","DSA, AWS, System Design",MCA,0-1,1,0,No,Flutter Developer,"Dart, Flutter"
Data Analyst,"Python, SQL, Excel","MongoDB, Linux, Git",MCA,Fresher,3,4,Yes,Data Analyst,None
Python Developer,"Python, Flask, Django","System Design, Firebase, Linux",BCA,1-3,4,4,Yes,Python Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Git, MongoDB, Linux, System Design, AWS",Diploma,0-1,4,2,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","AWS, Git, Linux, Docker",MCA,3-5,0,0,No,Backend Developer,"Java, Spring Boot"
Frontend Developer,"HTML, CSS, JavaScript","DSA, Git",B.Tech,3-5,4,1,Yes,Frontend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, DSA",B.Sc,3-5,6,4,Yes,Frontend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","AWS, Docker",MCA,0-1,6,1,Yes,Full Stack Developer,None
Data Analyst,"Python, SQL, Excel","Docker, System Design, MongoDB, Firebase",B.Tech,3-5,6,4,Yes,Data Analyst,None
Backend Developer,"Java, Spring Boot, Node.js","MongoDB, Linux, System Design, Firebase, REST API",M.Sc,3-5,4,3,Yes,Backend Developer,None
Python Developer,"Python, Flask, Django","REST API, Docker, Linux, MongoDB, DSA",M.Sc,0-1,6,2,Yes,Python Developer,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, System Design, Docker",Diploma,Fresher,5,2,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Linux, MongoDB, Git, REST API",MCA,0-1,4,2,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","Linux, AWS",B.Sc,3-5,3,0,No,Data Analyst,Python
Backend Developer,"Java, Spring Boot, Node.js","System Design, MongoDB",BCA,0-1,1,1,No,Backend Developer,"Node.js, Java, Spring Boot"
Full Stack Developer,"JavaScript, React, Node.js","DSA, AWS, Linux, REST API",BCA,3-5,5,3,Yes,Full Stack Developer,None
Flutter Developer,"Dart, Flutter","Docker, CI/CD, Firebase, Linux",M.Sc,Fresher,6,2,Yes,Flutter Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Firebase, Linux, System Design, CI/CD, REST API",M.Sc,0-1,3,4,Yes,Frontend Developer,None
Flutter Developer,"Dart, Flutter","AWS, Linux, REST API, System Design",BCA,0-1,5,4,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","AWS, REST API, Linux, Firebase, MongoDB",Diploma,Fresher,5,4,Yes,Full Stack Developer,None
Data Scientist,"Python, Machine Learning, Statistics","System Design, Linux, CI/CD, AWS",B.Sc,3-5,4,4,Yes,Data Scientist,None
Android Developer,"Java, Kotlin, Android SDK","Git, MongoDB, Linux",MCA,0-1,0,2,No,Android Developer,Kotlin
Data Analyst,"Python, SQL, Excel","CI/CD, Git, Firebase, MongoDB, Docker",B.Tech,3-5,2,4,Yes,Data Analyst,None
Android Developer,"Java, Kotlin, Android SDK","Firebase, Linux, DSA, Docker",M.Sc,1-3,6,4,Yes,Android Developer,None
Java Developer,"Java, OOP, Spring","CI/CD, DSA, AWS, MongoDB",B.Sc,Fresher,4,2,Yes,Java Developer,None
Data Analyst,"Python, SQL, Excel","Firebase, REST API, CI/CD",M.Sc,Fresher,6,2,Yes,Data Analyst,None
Java Developer,"Java, OOP, Spring","CI/CD, MongoDB",Diploma,3-5,3,2,Yes,Java Developer,None
Data Analyst,"Python, SQL, Excel","CI/CD, AWS, REST API",M.Sc,0-1,3,1,Yes,Data Analyst,None
Data Analyst,"Python, SQL, Excel","AWS, Git, Docker",MCA,0-1,5,3,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, Firebase, AWS, DSA, Git",Diploma,1-3,4,1,Yes,Frontend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","REST API, Docker, DSA, AWS",B.Tech,0-1,6,3,Yes,Data Scientist,None
Backend Developer,"Java, Spring Boot, Node.js","CI/CD, System Design",Diploma,3-5,2,1,Yes,Backend Developer,None
Python Developer,"Python, Flask, Django","CI/CD, Linux, AWS",BCA,Fresher,3,0,No,Python Developer,"Python, Django"
Python Developer,"Python, Flask, Django","Linux, Docker",MCA,Fresher,4,0,No,Python Developer,"Django, Python, Flask"
Full Stack Developer,"JavaScript, React, Node.js","REST API, AWS, Git",BCA,1-3,4,2,Yes,Full Stack Developer,None
Flutter Developer,"Dart, Flutter","MongoDB, Git, REST API, Firebase",B.Sc,0-1,3,4,Yes,Flutter Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, Linux, REST API",Diploma,0-1,6,2,Yes,ML Engineer,None
ML Engineer,"Python, Deep Learning, TensorFlow","System Design, CI/CD",MCA,3-5,1,0,No,ML Engineer,"Deep Learning, TensorFlow, Python"
Java Developer,"Java, OOP, Spring","Linux, CI/CD, System Design, Git, MongoDB",MCA,3-5,0,3,No,Java Developer,"Spring, OOP, Java"
Java Developer,"Java, OOP, Spring","MongoDB, REST API, Git, AWS, DSA",M.Sc,1-3,0,0,No,Java Developer,Java
Flutter Developer,"Dart, Flutter","Git, MongoDB, DSA",BCA,1-3,6,3,Yes,Flutter Developer,None
Frontend Developer,"HTML, CSS, JavaScript","REST API, CI/CD, Git, DSA",M.Sc,1-3,2,4,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Linux, CI/CD",B.Sc,Fresher,1,0,No,Data Analyst,"Excel, Python"
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, DSA, REST API",B.Sc,Fresher,2,4,Yes,Frontend Developer,None
Data Scientist,"Python, Machine Learning, Statistics","MongoDB, REST API, DSA",BCA,3-5,2,3,Yes,Data Scientist,None
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, MongoDB, REST API, Firebase",M.Sc,0-1,1,0,No,Data Scientist,Python
Data Scientist,"Python, Machine Learning, Statistics","Docker, MongoDB, Firebase, REST API",MCA,3-5,5,4,Yes,Data Scientist,None
Android Developer,"Java, Kotlin, Android SDK","DSA, System Design, Linux",MCA,0-1,6,0,No,Android Developer,"Android SDK, Kotlin"
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, AWS, Linux, REST API, Git",BCA,0-1,3,3,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","Docker, Git, REST API, MongoDB, DSA",B.Sc,Fresher,0,1,No,Flutter Developer,"Flutter, Dart"
Python Developer,"Python, Flask, Django","System Design, DSA, CI/CD",B.Tech,0-1,4,0,No,Python Developer,Python
Data Scientist,"Python, Machine Learning, Statistics","AWS, REST API, Docker, Firebase, DSA",B.Sc,1-3,6,2,Yes,Data Scientist,None
ML Engineer,"Python, Deep Learning, TensorFlow","Linux, System Design, CI/CD, DSA, Docker",B.Sc,1-3,6,4,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","Linux, System Design",Diploma,0-1,1,3,No,Flutter Developer,Flutter
Data Analyst,"Python, SQL, Excel","CI/CD, Firebase",M.Sc,0-1,5,3,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, Firebase, REST API",B.Sc,Fresher,5,2,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Linux, System Design",M.Sc,Fresher,1,4,No,Data Analyst,"Excel, Python, SQL"
Android Developer,"Java, Kotlin, Android SDK","AWS, System Design, Docker, MongoDB",BCA,3-5,2,2,Yes,Android Developer,None
Android Developer,"Java, Kotlin, Android SDK","Firebase, DSA",M.Sc,1-3,6,2,Yes,Android Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Firebase, DSA, Linux, REST API",BCA,1-3,3,0,No,Data Scientist,"Statistics, Machine Learning"
Python Developer,"Python, Flask, Django","CI/CD, System Design, AWS, Firebase",M.Sc,1-3,4,1,Yes,Python Developer,None
Data Analyst,"Python, SQL, Excel","Git, Docker",Diploma,1-3,4,1,Yes,Data Analyst,None
Python Developer,"Python, Flask, Django","Docker, Git, REST API, System Design, AWS",B.Tech,1-3,3,4,Yes,Python Developer,None
Data Scientist,"Python, Machine Learning, Statistics","REST API, DSA, CI/CD",B.Tech,1-3,5,3,Yes,Data Scientist,None
Frontend Developer,"HTML, CSS, JavaScript","DSA, REST API, Docker",B.Sc,3-5,5,4,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Docker, Firebase, Linux",Diploma,1-3,2,3,Yes,Data Analyst,None
Java Developer,"Java, OOP, Spring","Firebase, Git, DSA, AWS, CI/CD",MCA,0-1,6,2,Yes,Java Developer,None
Data Scientist,"Python, Machine Learning, Statistics","DSA, MongoDB",MCA,3-5,1,4,No,Data Scientist,"Python, Machine Learning, Statistics"
Frontend Developer,"HTML, CSS, JavaScript","Git, Firebase, Linux",BCA,3-5,3,0,No,Frontend Developer,"HTML, CSS"
ML Engineer,"Python, Deep Learning, TensorFlow","Linux, AWS, MongoDB",Diploma,1-3,5,1,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","Git, DSA, AWS, Firebase",M.Sc,3-5,6,4,Yes,Flutter Developer,None
Java Developer,"Java, OOP, Spring","DSA, System Design, MongoDB",Diploma,3-5,0,0,No,Java Developer,"Spring, OOP"
Data Scientist,"Python, Machine Learning, Statistics","DSA, CI/CD",MCA,Fresher,3,3,Yes,Data Scientist,None
Python Developer,"Python, Flask, Django","Linux, Firebase, MongoDB",B.Sc,3-5,3,3,Yes,Python Developer,None
Data Analyst,"Python, SQL, Excel","Firebase, Linux, AWS, MongoDB, DSA",Diploma,1-3,3,0,No,Data Analyst,"Python, Excel"
Data Scientist,"Python, Machine Learning, Statistics","Git, REST API, Linux, DSA, CI/CD",MCA,3-5,1,0,No,Data Scientist,"Machine Learning, Statistics"
Full Stack Developer,"JavaScript, React, Node.js","System Design, Firebase, MongoDB, CI/CD",M.Sc,1-3,1,0,No,Full Stack Developer,"Node.js, JavaScript, React"
Data Analyst,"Python, SQL, Excel","MongoDB, REST API",M.Sc,3-5,6,2,Yes,Data Analyst,None
Android Developer,"Java, Kotlin, Android SDK","Firebase, DSA, System Design, AWS, Docker",Diploma,3-5,6,1,Yes,Android Developer,None
Flutter Developer,"Dart, Flutter","AWS, CI/CD, System Design",Diploma,1-3,5,3,Yes,Flutter Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, System Design",B.Sc,0-1,5,3,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","AWS, Linux",Diploma,0-1,6,4,Yes,Flutter Developer,None
Data Analyst,"Python, SQL, Excel","Docker, REST API, Linux, DSA",MCA,Fresher,6,2,Yes,Data Analyst,None
Android Developer,"Java, Kotlin, Android SDK","CI/CD, Git, AWS, System Design",BCA,3-5,1,2,No,Android Developer,Kotlin
Full Stack Developer,"JavaScript, React, Node.js","REST API, MongoDB, CI/CD",M.Sc,Fresher,0,2,No,Full Stack Developer,Node.js
Frontend Developer,"HTML, CSS, JavaScript","Linux, Docker, DSA",MCA,1-3,1,3,No,Frontend Developer,"JavaScript, CSS, HTML"
Android Developer,"Java, Kotlin, Android SDK","MongoDB, Firebase, Git",Diploma,0-1,2,3,Yes,Android Developer,None
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, Firebase",BCA,3-5,5,4,Yes,Data Scientist,None
ML Engineer,"Python, Deep Learning, TensorFlow","MongoDB, Git, Docker, DSA",Diploma,0-1,4,0,No,ML Engineer,"Python, Deep Learning"
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, Git",MCA,1-3,6,1,Yes,Frontend Developer,None
Android Developer,"Java, Kotlin, Android SDK","DSA, Linux, Git",BCA,3-5,5,2,Yes,Android Developer,None
Data Analyst,"Python, SQL, Excel","Firebase, CI/CD, DSA, MongoDB, AWS",BCA,1-3,6,4,Yes,Data Analyst,None
Python Developer,"Python, Flask, Django","CI/CD, DSA, System Design",MCA,0-1,3,4,Yes,Python Developer,None
Frontend Developer,"HTML, CSS, JavaScript","Git, Linux, MongoDB",B.Sc,3-5,1,4,No,Frontend Developer,HTML
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, REST API, Docker",B.Sc,1-3,4,0,No,Frontend Developer,HTML
Frontend Developer,"HTML, CSS, JavaScript","Git, System Design, AWS, CI/CD",BCA,1-3,0,4,No,Frontend Developer,"HTML, JavaScript"
Data Scientist,"Python, Machine Learning, Statistics","REST API, Docker",Diploma,3-5,0,0,No,Data Scientist,"Python, Machine Learning, Statistics"
Full Stack Developer,"JavaScript, React, Node.js","Git, Firebase, Docker",B.Tech,3-5,1,3,No,Full Stack Developer,"JavaScript, Node.js"
Data Scientist,"Python, Machine Learning, Statistics","Git, AWS",MCA,Fresher,0,0,No,Data Scientist,"Python, Statistics"
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, System Design",Diploma,Fresher,1,0,No,ML Engineer,"TensorFlow, Deep Learning, Python"
Python Developer,"Python, Flask, Django","System Design, REST API, Docker, CI/CD, Git",BCA,0-1,4,0,No,Python Developer,Python
Python Developer,"Python, Flask, Django","Docker, AWS, Git, DSA",B.Tech,1-3,0,4,No,Python Developer,"Flask, Python"
Backend Developer,"Java, Spring Boot, Node.js","Git, Firebase, CI/CD, Linux, DSA",Diploma,0-1,3,2,Yes,Backend Developer,None
Full Stack Developer,"JavaScript, React, Node.js","Docker, System Design",MCA,0-1,0,1,No,Full Stack Developer,"Node.js, JavaScript"
Data Analyst,"Python, SQL, Excel","System Design, Linux",B.Tech,1-3,6,2,Yes,Data Analyst,None
Full Stack Developer,"JavaScript, React, Node.js","REST API, Docker, CI/CD, System Design",M.Sc,1-3,4,4,Yes,Full Stack Developer,None
Java Developer,"Java, OOP, Spring","REST API, Linux, Git, System Design, DSA",B.Sc,Fresher,0,4,No,Java Developer,"Spring, Java, OOP"
Frontend Developer,"HTML, CSS, JavaScript","AWS, System Design, Docker",M.Sc,0-1,2,3,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","Git, Firebase, REST API, MongoDB, Docker",B.Sc,Fresher,3,2,Yes,Data Analyst,None
Frontend Developer,"HTML, CSS, JavaScript","Linux, DSA, REST API, CI/CD, MongoDB",Diploma,0-1,5,3,Yes,Frontend Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, Docker, REST API, Firebase, AWS",MCA,0-1,0,4,No,ML Engineer,"TensorFlow, Python, Deep Learning"
Java Developer,"Java, OOP, Spring","CI/CD, Linux, Git, DSA, Firebase",M.Sc,1-3,6,3,Yes,Java Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","AWS, DSA, REST API, Firebase, System Design",BCA,0-1,4,0,No,ML Engineer,TensorFlow
Java Developer,"Java, OOP, Spring","REST API, CI/CD, MongoDB, AWS",B.Tech,1-3,5,3,Yes,Java Developer,None
Java Developer,"Java, OOP, Spring","Linux, System Design, AWS",M.Sc,3-5,6,0,No,Java Developer,"Java, Spring, OOP"
Flutter Developer,"Dart, Flutter","Linux, MongoDB, DSA, System Design",Diploma,3-5,4,0,No,Flutter Developer,"Flutter, Dart"
Backend Developer,"Java, Spring Boot, Node.js","System Design, Firebase, AWS, MongoDB",B.Tech,1-3,1,0,No,Backend Developer,"Spring Boot, Java"
Data Analyst,"Python, SQL, Excel","AWS, Firebase",M.Sc,1-3,4,4,Yes,Data Analyst,None
Java Developer,"Java, OOP, Spring","CI/CD, Firebase, DSA",MCA,1-3,5,1,Yes,Java Developer,None
Flutter Developer,"Dart, Flutter","Git, Docker, REST API",BCA,1-3,0,1,No,Flutter Developer,"Flutter, Dart"
Full Stack Developer,"JavaScript, React, Node.js","MongoDB, Firebase, DSA, Docker, System Design",B.Sc,1-3,2,3,Yes,Full Stack Developer,None
Android Developer,"Java, Kotlin, Android SDK","AWS, Docker",Diploma,3-5,6,0,No,Android Developer,"Android SDK, Java, Kotlin"
Data Analyst,"Python, SQL, Excel","Git, CI/CD, AWS",B.Sc,Fresher,5,3,Yes,Data Analyst,None
Android Developer,"Java, Kotlin, Android SDK","System Design, Firebase, CI/CD, AWS, MongoDB",BCA,1-3,6,1,Yes,Android Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, Firebase, System Design",BCA,1-3,4,2,Yes,ML Engineer,None
Flutter Developer,"Dart, Flutter","Linux, AWS, Firebase, Git",Diploma,0-1,4,0,No,Flutter Developer,Dart
Java Developer,"Java, OOP, Spring","System Design, Git",M.Sc,0-1,3,1,Yes,Java Developer,None
Python Developer,"Python, Flask, Django","Linux, MongoDB, CI/CD",M.Sc,1-3,4,2,Yes,Python Developer,None
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, AWS, MongoDB",BCA,3-5,2,2,Yes,Data Scientist,None
ML Engineer,"Python, Deep Learning, TensorFlow","Firebase, Linux, REST API, Git",B.Sc,Fresher,0,4,No,ML Engineer,"TensorFlow, Python, Deep Learning"
Full Stack Developer,"JavaScript, React, Node.js","CI/CD, REST API, DSA, Linux, MongoDB",Diploma,3-5,6,1,Yes,Full Stack Developer,None
Java Developer,"Java, OOP, Spring","CI/CD, Git, Docker",Diploma,3-5,6,0,No,Java Developer,"Spring, OOP"
Java Developer,"Java, OOP, Spring","CI/CD, Docker",B.Sc,Fresher,0,1,No,Java Developer,"OOP, Spring, Java"
ML Engineer,"Python, Deep Learning, TensorFlow","MongoDB, DSA",B.Tech,1-3,5,4,Yes,ML Engineer,None
Python Developer,"Python, Flask, Django","MongoDB, AWS, Linux",M.Sc,Fresher,4,3,Yes,Python Developer,None
Data Scientist,"Python, Machine Learning, Statistics","CI/CD, AWS, MongoDB",MCA,Fresher,0,1,No,Data Scientist,"Machine Learning, Python"
Java Developer,"Java, OOP, Spring","REST API, Linux, Docker, DSA, Git",BCA,3-5,4,4,Yes,Java Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Linux, AWS, Firebase",BCA,0-1,2,4,Yes,ML Engineer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Linux, Docker, REST API",M.Sc,3-5,5,0,No,ML Engineer,"Deep Learning, TensorFlow"
Full Stack Developer,"JavaScript, React, Node.js","AWS, Firebase, REST API, Git, System Design",MCA,0-1,5,0,No,Full Stack Developer,"React, Node.js"
Java Developer,"Java, OOP, Spring","CI/CD, Linux, Git",B.Tech,1-3,1,0,No,Java Developer,"Spring, OOP, Java"
Flutter Developer,"Dart, Flutter","System Design, Firebase, Linux",B.Sc,1-3,1,4,No,Flutter Developer,Flutter
Backend Developer,"Java, Spring Boot, Node.js","Firebase, Git, Docker, DSA",B.Tech,0-1,6,3,Yes,Backend Developer,None
Python Developer,"Python, Flask, Django","System Design, MongoDB, Docker, REST API, Firebase",MCA,1-3,3,0,No,Python Developer,Python
Data Scientist,"Python, Machine Learning, Statistics","Linux, Git",M.Sc,3-5,4,2,Yes,Data Scientist,None
Data Analyst,"Python, SQL, Excel","MongoDB, System Design, CI/CD, AWS, DSA",BCA,1-3,1,4,No,Data Analyst,SQL
Java Developer,"Java, OOP, Spring","Docker, REST API, AWS, DSA, Git",BCA,Fresher,5,2,Yes,Java Developer,None
Data Scientist,"Python, Machine Learning, Statistics","Git, Docker, AWS, REST API, CI/CD",BCA,Fresher,4,1,Yes,Data Scientist,None
Flutter Developer,"Dart, Flutter","MongoDB, REST API, System Design, Docker, Git",M.Sc,1-3,3,2,Yes,Flutter Developer,None
Full Stack Developer,"JavaScript, React, Node.js","System Design, AWS, DSA, Git, Linux",BCA,3-5,2,0,No,Full Stack Developer,"Node.js, JavaScript"
Frontend Developer,"HTML, CSS, JavaScript","Git, Firebase, DSA, Docker, MongoDB",MCA,1-3,3,3,Yes,Frontend Developer,None
Data Analyst,"Python, SQL, Excel","MongoDB, Linux, CI/CD, REST API, Docker",BCA,1-3,0,4,No,Data Analyst,Python
Flutter Developer,"Dart, Flutter","Linux, Firebase",MCA,1-3,1,2,No,Flutter Developer,Flutter
Backend Developer,"Java, Spring Boot, Node.js","CI/CD, REST API",B.Sc,0-1,1,2,No,Backend Developer,Node.js
Backend Developer,"Java, Spring Boot, Node.js","Linux, Git",M.Sc,1-3,1,0,No,Backend Developer,Spring Boot
Backend Developer,"Java, Spring Boot, Node.js","Git, REST API, System Design, MongoDB, DSA",M.Sc,3-5,4,3,Yes,Backend Developer,None
Backend Developer,"Java, Spring Boot, Node.js","Docker, DSA, CI/CD, MongoDB, System Design",B.Tech,3-5,5,2,Yes,Backend Developer,None
Frontend Developer,"HTML, CSS, JavaScript","CI/CD, DSA, System Design, Firebase",M.Sc,3-5,3,4,Yes,Frontend Developer,None
Android Developer,"Java, Kotlin, Android SDK","CI/CD, DSA, Firebase",B.Sc,1-3,3,1,Yes,Android Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","CI/CD, System Design",B.Sc,Fresher,0,4,No,ML Engineer,"TensorFlow, Python, Deep Learning"
Flutter Developer,"Dart, Flutter","Docker, System Design",Diploma,0-1,6,0,No,Flutter Developer,"Flutter, Dart"
Flutter Developer,"Dart, Flutter","MongoDB, Linux, Docker",Diploma,1-3,4,2,Yes,Flutter Developer,None
ML Engineer,"Python, Deep Learning, TensorFlow","Linux, Docker, System Design, REST API",Diploma,0-1,4,3,Yes,ML Engineer,None
ML Engineer,"Python, Deep Learning, TensorFlow","DSA, MongoDB, REST API, AWS, Docker",M.Sc,3-5,1,2,No,ML Engineer,Deep Learning
ML Engineer,"Python, Deep Learning, TensorFlow","System Design, MongoDB, DSA, CI/CD",M.Sc,Fresher,2,1,Yes,ML Engineer,None
Android Developer,"Java, Kotlin, Android SDK","Git, REST API",B.Tech,Fresher,1,3,No,Android Developer,"Android SDK, Kotlin"
